;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train
Ridge;10.510210240982612;9.92494375971847;0.45749424779303316;0.5003129064131335;253.25341877211002;199.43508816327983;0.6763832107563236;0.7073280048274163;15.913937877599938;14.122148850769129
RidgeCV;10.58670769847875;10.71569523678229;0.43452776302688345;0.42591694719451645;263.9746705939451;229.12799973970692;0.6591871987735225;0.6526231279954124;16.24729733198556;15.136974590046286
Lasso;13.386235717406677;13.374287516724275;0.1328222069241789;0.13204082513368387;404.81734965258266;346.41982309174676;0.36444781097460155;0.36337422188934076;20.120073301372006;18.61235673126181
LassoCV;10.246912226972272;10.180463970141291;0.4679183994744939;0.4711569294207001;248.38719930735894;211.071820263429;0.684045612130137;0.6864087189282345;15.760304543610792;14.528310991420476
Ridge_pca;10.68144525938087;10.001223084842348;0.43584030342515323;0.4954730430314017;263.36194834761676;201.3667741976443;0.6601820229490903;0.7038984607394746;16.228430249029532;14.190376111916283
RidgeCV_pca;10.427772567244148;10.011847797473033;0.450353377811475;0.49082175342353773;256.5869313265479;203.22319667667725;0.6710837338301943;0.7005867208444203;16.01833110303779;14.255637364799837
Lasso_pca;10.841608524706137;11.080098480770753;0.40561678398088596;0.393458320410056;277.470940916724;242.08288526206533;0.6368805099709725;0.6272625609822859;16.657459017410908;15.559012991255754
LassoCV_pca;10.345579430535686;10.291124379315072;0.45128773507078956;0.46651888247714224;256.1507531490571;212.92295733093678;0.6717795286184223;0.6830218755480254;16.004710342554066;14.59187984225942
Ridge_rfe;10.316424275270515;10.183176001879264;0.46346171107113276;0.4706372319097324;250.467677845995;211.27924190839101;0.6807802222972791;0.6860300517540995;15.8261706627344;14.535447771169315
RidgeCV_rfe;10.948277678597806;11.076802885483126;0.40655009087025307;0.3937102209891429;277.03525307464264;241.98234671535613;0.6376128063882132;0.627463322425417;16.644376019383923;15.555781777697838
Lasso_rfe;13.568310666749268;13.472084424434534;0.11448717530696584;0.1218084837575627;413.37653897262965;350.50375467744163;0.33835953556382276;0.3490107215510187;20.3316634580801;18.72174550295569
LassoCV_rfe;10.39294550771491;10.147990033975505;0.4523696550203077;0.47270237214315314;255.64568951620427;210.45500324021697;0.6725843107152498;0.6875335425585818;15.988923963675738;14.507067354921082
Ridge_skb;10.375743331920795;10.301134797229802;0.4688355378859742;0.45954048787176704;247.9590592604567;215.7081738418756;0.6847156620714719;0.6778941568355396;15.74671582459202;14.687006973576189
RidgeCV_skb;10.89049547756748;11.165264408333787;0.41200477086877163;0.38493603463180603;274.4888904742224;245.48429954182498;0.6418759777938193;0.6204321353958111;16.567706252653757;15.667938586228406
Lasso_skb;13.386235717406677;13.374287516724275;0.1328222069241789;0.13204082513368387;404.81734965258266;346.41982309174676;0.36444781097460155;0.36337422188934076;20.120073301372006;18.61235673126181
LassoCV_skb;10.327392234499428;10.34602635100024;0.46616567887961147;0.4517900892010156;249.20540718994909;218.80151257733598;0.6827632670842885;0.6721533226883697;15.786241072210606;14.791940798196023
Ridge_sfm;10.361587277702172;10.041878268792752;0.4662035903841871;0.4893546089250067;249.18770927964027;203.80876331661676;0.6827910298064753;0.699538854478439;15.785680513669352;14.276160664429941
RidgeCV_sfm;10.583406067668362;10.716140522257238;0.4355743676523375;0.42551599422586495;263.4860929181866;229.2880280687925;0.6599805812691291;0.6523158699785442;16.23225470839423;15.1422596751209
Lasso_sfm;13.386235797888189;13.374287564386798;0.13282219620591595;0.13204081941992207;404.81735465609967;346.41982537222304;0.36444779626980317;0.3633742140272505;20.12007342571343;18.612356792524235
LassoCV_sfm;10.271813121736587;10.098070819027619;0.4690435203470046;0.4807603140014721;247.86196854927752;207.2389178828931;0.6848675202891465;0.6933688152790491;15.743632635109266;14.395795145906082
Ridge_log;0.324687858159987;0.3199370612917206;0.4513775894234271;0.4883126533951897;0.17780335467562397;0.1718046209932618;0.6718464031483886;0.698793713047842;0.4216673507347041;0.41449320982769045
RidgeCV_log;0.33059631006241536;0.34392131635102713;0.4398084162147494;0.42109855360251824;0.18155281471894302;0.19437248986261216;0.6631805306360776;0.6489210688539233;0.4260901485823663;0.4408769554678631
Lasso_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_log;0.3252040971352012;0.3341532803976662;0.46062125822869593;0.44799219811865487;0.1748075687007858;0.18534265468321914;0.6786908414209639;0.6693221930570171;0.4180999506108387;0.4305144070565109
Ridge_pca_log;0.32970292177099053;0.3219361292225625;0.43014848337788547;0.4816641576571884;0.18468350794478217;0.17403692612650715;0.6558570601723256;0.6940202862000421;0.429748191322293;0.41717733175054844
RidgeCV_pca_log;0.3251794345258156;0.3239052145157587;0.4484485432046672;0.4772821245363147;0.17875263096047012;0.17550824165640452;0.6696630071944151;0.6908560809143354;0.4227914745598238;0.4189370378188165
Lasso_pca_log;0.4045310705041197;0.4143281589054377;0.1972722784601918;0.18744538576412606;0.2601564920231728;0.27282409553687403;0.4441534402210477;0.43294963421179383;0.5100553813294914;0.5223256604235273
LassoCV_pca_log;0.32377488225510015;0.3324055904236601;0.4515149947256226;0.45448373491786065;0.17775882291168288;0.18316305022973497;0.6719486548283452;0.674154088408474;0.42161454305050117;0.4279755252695357
Ridge_rfe_log;0.3289079275256989;0.33447862812891;0.44605660097155686;0.44663857885220604;0.17952783690364396;0.18579714715129467;0.6678746895724952;0.66831024146889;0.4237072537774683;0.43104193201044216
RidgeCV_rfe_log;0.3451291328892934;0.36004809099561785;0.406019449311686;0.3775461531137503;0.19250350056510532;0.20899568449302083;0.6371965546922598;0.6144478440956159;0.4387522086156437;0.4571604581468314
Lasso_rfe_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_rfe_log;0.33049129352257955;0.3335100728500256;0.43844008964734793;0.4480578980610158;0.1819962764683821;0.18532059520926208;0.6621480873999017;0.6693712707167943;0.4266102160853419;0.4304887863920059
Ridge_skb_log;0.3317902149950237;0.34205545374913954;0.4448313682534053;0.429620866486777;0.1799249232846336;0.19151103013572765;0.6669567963919442;0.6554547020860991;0.4241755807264647;0.4376197323427357
RidgeCV_skb_log;0.3469232192155992;0.36583807006529606;0.3990888563602857;0.3612419909264446;0.19474964044727883;0.2144699852037752;0.6317347990733815;0.6010341013007869;0.4413044758976265;0.4631090424552032
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_skb_log;0.3326117728849535;0.34735271442806276;0.44202206672722755;0.4136066759793444;0.1808353914427331;0.19688796968465155;0.6648474010833069;0.6431225979386391;0.42524744730889696;0.443720598670663
Ridge_sfm_log;0.3219032463684234;0.32449966615096093;0.4604881700994219;0.47562176421399016;0.17485070130965524;0.17606572578764595;0.6785927866544279;0.6896533652596717;0.41815152912509507;0.41960186580572534
RidgeCV_sfm_log;0.3312730522886713;0.34456828706362347;0.44054169052037895;0.41939962949842347;0.18131516742469314;0.19494292220520776;0.6637331470707026;0.6476107082950555;0.42581118752880737;0.4415234107102451
Lasso_sfm_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_sfm_log;0.32291763956076275;0.33056610847719886;0.46382779183281875;0.45863359191264996;0.17376836136856255;0.1817696903725942;0.6810490377592635;0.6772249197368995;0.41685532426558086;0.4263445676592985
